school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered,grade_A,grade_O
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357 TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,32_ 111_ 122_ 132_ 51_ 139_ 186_ 970,MRS HELEN CHONG,MDM V PRIYA RAJAN,MISS LOW SHIOK CHENG CINDY,MISS CHUANG SIEW CHIN,na,na,na,Ladies and Leaders of Tomorrow,We nurture Crescentians to be Confident Learners_ Global Citizens and Servant Leaders.,Crescent Girls' School provides a nurturing and innovative environment with a distinctive brand of education that empowers generations of students to grow into gracious and confident ladies_ and caring visionary leaders. The school focuses on transforming the learning experiences of students through pervasive and purposeful use of technology. As one of the pioneer FutureSchools@Singapore_ we continually harness technology to develop in our students a passion for learning and for life so that they are well-prepared for the challenges of the 21st century. Beyond academic excellence_ the school is committed to inculcating sound values in our students so that they are able to contribute to the community. There is a pervasive culture of care in the school_ and a strong emphasis on development of strength of character_ focusing on moral courage_ resilience_ empathy and commitment to teamwork to nurture our students to be responsible members of society and gracious citizens of the world. The school has done well in many aspects over the years. This is possible due to a team of dedicated and innovative staff and the support of parents_ alumnae and the school advisory committee.,BUKIT MERAH,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,The school's Student Development Programmes are offered within our Student-centric Holistic Curriculum. In our Instructional Programmes_ students are exposed to a myriad of learner-centric teaching approaches that extend learning beyond the classroom and empower our students with 21st century competencies like collaboration_ global awareness_ skilled communication and real-world problem solving. Our 4-year Character & Leadership Development Programme provides all students with opportunities to develop their leadership potential. Our Values in Action Programme equips students with problem-solving skills and provides them with platforms to engage with the community_ with the aim of inspiring and empowering them to make a difference in society. All students have opportunities to travel overseas in our Service Learning Programme_ which aims to develop a sense of empathy_ civic responsibility and cross-cultural skills in our students. Our Talent Development Programme aims to stretch our able_ committed and creative students further. The school also offers the Music Elective Programme for students passionate about music.,-1,242
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35 BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,187_ 188,MDM YAP SIU LIN,MISS SANTHANA MARY D/O POOBALAN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,MR KOH SEE CHOON,na,na,Achievers rooted in values_ soaring beyond limits,To nurture and inspire pupils to be self-directed learners_ gracious and resilient_ serving beyond self,Dazhong Primary School (DZPS) has a long history of almost 80 years. Anchored on our firm belief that every child can learn and give of one's best_ we strive to groom every student to serve beyond oneself and faces challenges with resilience.                                                                                                                                                                                                                                                                     A student-centric approach is adopted in designing our holistic curriculum to help every student live out our school's values of 'IREAP': 'Integrity_ Responsibility_ Excellence_ Acceptance and Perseverance'. Our six-year structured curriculum through our LLP-Arts Education programme offers a myriad of learning experiences which help to cultivate in every student_ 'Howard Gardner's 5 Minds for The Future' - The Disciplinary Mind_ The Synthesizing Mind_ The Creating Mind_ The Respectful Mind & The Ethical Mind'.  This prepares them to be self-directed learners_ gracious and resilient citizens who seek to serve beyond self for the future.                                                                                                                                                                                       Coupled with a warm and caring environment afforded by a team of committed staff_ we believe that our students can become 'Achievers rooted in values_ soaring beyond limits'.,BUKIT BATOK,WEST,WEST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,Learning for Life Programme (LLP):  Developing 21st century competencies through Arts Education Programme@Dazhong (AEP@DZPS). Our signature programme aims to develop our students to be future ready. We are also the only primary school in Singapore to have a Junior Orchestra Talent development programme supported by the MOE Arts Education Branch.  Character & Citizenship Development:  Resilience@DZPS via Outdoor Education Programme (OEP) aims to build resilience and 'gritty' children through a longitudinal OEP_ where students undergo rugged and authentic learning experiences to develop character_ strength and tenacity. Other Character Development programmes include 'myCEED@DZPS - Character and Citizenship Programme_ NE Current Buzz_ Gratitude Journalling & Servant Leadership Development Programme through iLEAD (Leadership Experience at Dazhong).  Cognitive (Critical & Inventive Thinking Development):  Beyond supporting the students' development in Literacy and Numeracy. Students are exposed to other stretch programmes such as Fun with Coding Programme to develop Computational Thinking Skills_ Science Learning through the  I- Experience programme_ Literacy programmes such as Writing With Purpose & the Math Mastery Programme.,-1,-1
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10 TANJONG RHU ROAD,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,ALJUNIED MRT_ KALLANG MRT_ MOUNTBATTEN MRT,12_ 14_ 30_ 158_ 196,MR LOW TECK ENG TONY,MDM TEY KAH HWEE,MR KEITH TAN,MISS LIE SUYIN JAMIE,MISS SEE PEI LOO,na,na,The Premier School of Leaders of Honour,To Nurture Our Students to Care_ to Serve_ and to Lead,In Dunman High School_ we view the twin pillars of a rigorous curriculum and character development as fundamental to the education of our students. This educational ethos is influenced by Confucian philosophy_ where the Head_ Heart and Hands are important in developing all-round individuals and knowledgeable Leaders of Honour with a heart to care for and serve others within and beyond the school community.,KALLANG,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,Yes,Yes,Chinese,na,na,Established in 1956_ Dunman High School has distinguished itself as a Special Assistance Plan (SAP) school (1979) and is among the pioneer batch of schools to be accorded the Autonomous Status in 1994. The school now offers a 6-year Integrated Programme with expanded opportunities in School-based Gifted Education_ Music Elective Programme_ Bicultural Studies Programme_ Chinese Language Elective Programme_ Talent Development Programme_ Malay Special Programme_ Thinking & Research Skills Programme_ Overseas Immersion and Student Leadership Development Programme.,9,256
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,53 MOUNT SINAI ROAD,276880,63518388,na,63518399,na,eunoiajc@moe.edu.sg,Buona Vista MRT Station_ Dover MRT Station,92_ 100_ 105_ 106_ 111_ 147_ 185,MDM CHEANG MEI HENG,MR POH CHUN LECK,MR TAY JUNCHENG ADRIAN,MR MOHAMAD AMRAN SHAH BIN ABD RAHIM,na,na,na,Every Eunoian a Youth with Purpose_ Thinker with Heart_ Leader with Courage,We Enable students to learn continuously_ Empower students to seek all-round excellence_ and Embolden students to pursue their purpose.,na,BISHAN,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,Environmental Literacy Programme Leadership Advancement Programme Liberal Arts Programme Life Coaching Programme Passion Pursuit STEM Research Programme Talent Development Programme World Readiness Programme,9,-1
EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11 WOODLANDS STREET 83,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MR TOH KIM YONG VINCENT,MR ELANGOVAN S/O V MUTHOO,MR CHUA TUNG KIAN,na,na,na,na,A dynamic school that thinks and cares.,We nurture citizens of character with the passion to contribute and excel.,Evergreen Secondary School is guided by our Vision_ Mission and Values to nurture our students to become Caring Leaders and Thinking Citizens. We believe every student who aspires to do well can succeed if given the right support from teachers and parents. Thus we recognise the importance of forging effective partnerships with our parents in addition to building a team of dedicated and competent teachers. In preparing our students for the challenges of the 21st Century_ we believe it is of utmost importance to design a forward-looking curriculum undergirded by sound values. Hence_ in our school_ we adopt a school-wide approach in which character and citizenship education is integrated into all instructional programmes and CCA programmes.,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,The school's Applied Learning Programme aims to develop Effective Communicators_ Caring Leaders and Inventive Thinkers through a 3-year Communication Skills Programme. Through this programme_ students develop deep analytical and critical thinking skills_ collaborative skills and oratorical skills through Effective Reading_ Debates and Presentations. Talent development programmes such as the Model United Nations_ e-Journalism and the Odyssey of the Mind Competition_ allow students to further hone their interest. The school's Learning for Life Programme (LLP) is a 4/5-year programme that focuses on Strengthening Resilience_ Character and Leadership through Sports Education. With this programme_ the school aims to nurture all students to become thinking and caring leaders who take personal responsibility for maintaining an active and healthy lifestyle. Students will be exposed to a broad-based PE curriculum and authentic applications of lessons on resilience and leadership through outdoor programmes_ CCA and partnerships with external agencies. To nurture community engagement_ the school has a comprehensive Sec 1-4 Service Learning structure. This approach empowers students to participate in learning experiences that are tailored to levels to internalise values_ sharpen leadership skills and develop critical thinking competencies. The school also offers a structured Science and Technology Research Programme (STRP) to stretch the potential of our students_ by providing them with opportunities to work on research projects under the guidance of dedicated teachers. This equips them with research skills_ analytical skills and presentation skills.,-1,227
FAJAR SECONDARY SCHOOL,http://www.fajarsec.moe.edu.sg,31 GANGSA ROAD,678972,67691491,na,67633025,na,FAJAR_SS@MOE.EDU.SG,BUKIT PANJANG MRT_ BUKIT PANJANG LRT_ PETIR LRT,67_ 75_ 170_ 171_ 176_ 177_ 178_ 180_ 960_ 961_ 961C_ 963_ 963E_ 963R_ 970_ 979_ 979M,MISS HO SOOK FUN DORIS,MRS ROSIE LAU @ MDM ROSIE LIM,MS CHOO WAN XIAN,na,na,na,na,A Vibrant Community of Learners who Lead and Contribute to Family_ Nation and Beyond.,To Grow a Vibrant Community of Leader-Learners of Character who Contribute to Family_ Nation and Beyond.,We strive to develop all our students to be learning leaders firmly anchored in sound moral values through a student-centric_ values-driven education within a holistic learning environment.  These values are infused into the academic curriculum_ the Applied Learning Programme (ALP)_ the Learning for Life Programme (LLP) and the Character and Citizenship Education (CCE) curriculum. Our team of committed staff build strong teacher-student relationships and trust as we nurture our students in developing sound character to give their best to realize their dreams with courage_ to succeed in life and contribute to the school_ nation and beyond.,BUKIT PANJANG,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,The school is committed to equipping our students with the necessary 21st Century Competencies (21CC) for the future via our CCE curriculum_ Values In Action programmes including Service Learning_ a vibrant CCA programme_ Creative Arts Programme_ Leadership opportunities_ Applied Learning (ALP) and Learning for Life (LLP) Programmes. Our ALP on 'Sustainability' seeks to enable our students to attain the relevant knowledge_ in particular_ the Scientific Thinking and Engineering Design approaches. We also seek to develop 21CC in our students_ especially Applied Critical and Inventive Thinking Skills (ACIT)_ values and attitudes to enable them to contribute positively and effectively to a sustainable 21st century world. Our ALP makes relevant the knowledge in our classrooms to our students' daily life experiences via authentic learning tasks_ and enables our students to learn the process skills of design thinking_ problem-based learning_ and inquiry-based learning. The school is committed to bringing out the leadership potential in every student through our Student Leadership Programme (our LLP). This programme aims to build in our students the necessary 21st century skills_ core values_ and social and emotional competencies to face the challenges of the future. Our 'Educate-Encourage-Empower' framework and whole school involvement ensure an integrated and systematic student leadership development effort. Every student is 'educated' with an enhanced awareness of leading self and others_ as well as relevant life-skills_ and student leaders are given additional training to perform their roles and responsibilities well. Recognition structures are in place to 'encourage' development and personal mastery of leadership skills. Our students are also 'empowered' to undertake self- and class-initiated projects_ to organise student-led programmes_ and to give feedback and take action for school improvement.,-1,188
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20 JURONG WEST STREET 61,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),241,MDM LEE YEW KOON TONNINE,MR SYAMSUL ANWAR BIN AWANG,MDM CHAN YEE CHIN WILNA,MR GOH GIN HOWE,na,na,na,Confident Thinkers. Adaptable Learners.Passionate Leaders.,We develop every Frontierer to reflect deeply_ embrace differences and serve as a role model to overcome future challenges.,We are guided by our philosophy of 'Strong Fundamentals_ Future Learning' which underpins the holistic education that Frontier provides to prepare our pupils to thrive in a fast-changing and highly-connected world. We want our pupils to be grounded with strong fundamentals so that they can partake in future learning.  At Frontier_ we believe that pupils are at the centre of all that we do. We want to nurture our pupils to grow up to be confident thinkers_ adaptable individuals and passionate leaders in the 21st century. We strive to provide holistic education to all our pupils through exciting_ engaging and enriching learning experiences. We care about the socio-emotional learning of our pupils so that they care for themselves and others. We keep ourselves abreast of effective teaching and learning strategies and pedagogies through reflective practices and collaboration. Staff also grow ourselves so that we are always able to give our best to our pupils.   Teaching and learning in the school will be deep and mindful. Good learning is not always speedy; it is reflective. We want our pupils to be able to reflect_ to discover and even to slow down at times and exercise metacognition. In this way_ creativity in pupils and breakthroughs can be fostered and learning deepened.,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,The school has 5 Key Programmes to achieve our vision for Frontierers:  Frontier's Approach to Communicating Effectively (F@CE) aims to develop our pupils to have effective communication and critical thinking skills_ so that they can articulate their knowledge_ ideas and thinking clearly and confidently while displaying school values.  Thinking Silhouette is a customised thinking model that helps the school realise our vision of developing our pupils into 'Confident Thinkers'. Each thinking silhouette is a profile of one facet of a person's thinking.   Restorative Practices is the school's approach to inculcate a culture of care and restorative relationships in the school. Frontierers will understand the importance of making responsible personal choices that positively affect their relationships. They are also taught to understand that they have the power to contribute towards building a positive environment.  danceFRONT is the school's approach to deliver Dance and Performing Arts education to Frontierers. The school believes that dance and performing arts develop self-esteem and confidence of participants_ as well as self-management from the listening and concentration required during the activity.  exemplary Leaders@Frontier (eLF) aims to harness the leadership potential and develop the leadership skills in every child by providing each with relevant opportunities and training. The core beliefs of eLF are that leadership can be taught and learned_ is a developmental process_ is a collective activity_ and is rooted in service.,-1,-1
FUCHUN SECONDARY SCHOOL,http://www.fuchunsec.moe.edu.sg,21 WOODLANDS AVENUE 1,739062,63681984,na,63670180,na,fcss@moe.edu.sg,MARSILING MRT,187_ 856_ 912_ 925_ 926_ 950_ 960_ 961_ 963_ 966,MDM ONG BEE LIAN DORIS,MDM ONG LAY YEN,MR SIM KOK HIAN_ KENNETH,na,na,na,na,A Learner_ A Leader_ An Explorer,Nurturing Life-long Learners_ Empowering Them to Lead_ Inspiring Them to Explore,Every child matters in Fuchun. Our dedicated team of teachers exercise discipline with care because we believe in preparing our students not just for examinations_ but for life. We are proud of our culture of care and emphasis is placed on building the school values of Integrity_ Camaraderie_ Adaptability_ Responsibility and Excellence (ICARE) through our teaching and co-curriculum. Our students develop resilience through the high standards we expect of them in everything that they do. Every student is teachable and can excel. We ensure that the needs of learners of various abilities are catered for through our customised teaching and learning programmes_ including the use of information and communication technologies. Our academic framework_ ACE3 (Assessment_ Collaboration_ Engagement_ Experimentation and Experience)_  allows this through various modes of assessment_ including formative assessments_ enabling our students to collaborate_ and the engagement of our learners through a rich curriculum_ delving in experimentation and learning through experience. To this end_ we work closely with our community partners_ institutes of higher learning and members of our Parents Support Group who are encouraged to be actively involved in their children's joy of learning.,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,Your child is unique_ blessed with talents and fired with passion in his or her interests which is why_ within our framework of holistic development_ we provide a host of exciting opportunities to maximise the potential of your child through various Talent Identification Programmes. We offer two distinctive programmes - the Applied Learning Programme (ALP)_ 'Innovations in Science and Technology for SustainAbility' to engage students in simulation_ modelling and mBot_ and the Learning for Life Programme (LLP)_ 'Values Through Dance'_ which students develop character through dance and other performing arts in school. To nurture life-long LEARNERS_ we introduce interdisciplinary project work at Lower Secondary_ task-based assessments and Values-In-Action projects at Upper Secondary to imbue life skills and 21st Century skills.  Our student LEADERS are active contributors to community work. Fuchun Secondary offers all students opportunities to develop their leadership skills and confidence building workshops. Believers in the green cause can participate in our environmental programme that has earned various accolades including the SEC's highest achievement_ the Lotus Award_ and the NEA's 3R Gold Award. Aligned to our vision of every student an EXPLORER_ our students enjoy opportunities to learn beyond the classroom and participate in overseas trips in their 4-5 years in Fuchun Secondary.,-1,188
FUHUA SECONDARY SCHOOL,http://www.fuhuasec.moe.edu.sg,5 JURONG WEST STREET 41,649410,65633067,na,65634379,na,FHSS@MOE.EDU.SG,CHINESE GARDEN MRT_ LAKESIDE MRT,49_ 98_ 99_ 157_ 180_ 185_ 187_ 198_ 334_ 335_ 502_ 657,MISS FOONG LAI LEONG,MR SIM HOW CHONG,MR PHUA CHENG PENG,na,na,na,na,Premier School_ Serving Community,Nurturing The Whole Fuhuanite,Fuhua Secondary School was established in the year 2000. We are committed to nurturing the whole Fuhuanite_ who is Outstanding_ Upstanding and Ready for the Future (OUR Fuhuanites). To this end_ the school provides opportunities for all students through a rigorous academic curriculum as well as a broad suite of co-curricular programmes - delivered and facilitated by caring teachers who actively promote our school RISE values (Respect_ Integrity_ Service and Excellence) and character-building. Fuhua aims to grow a positive school culture based on Values_ Collaboration and Learning_ and within this context seeks to develop thinking and thoughtful Fuhuanites who are prepared for the tests of life.,JURONG WEST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"To cultivate confident and self-directed learners with 21st Century Competencies_ the school offers a rigorous and enriched academic curriculum. Special programmes include IGNIS (EL Talent Development Programme)_ Financial Literacy in Mathematics and Olympiad training in Mathematics and the Sciences_ learning journeys and field trips (Humanities)_ Mother Tongue Fortnight and ICT Skills Modules_ among others. The school has also established an Applied Learning Programme (ALP) in Forensic Science which offers experiential learning to help students develop an investigative mindset_ a curious outlook and critical thinking skills. Fuhua Robotics Club offers another platform to promote these skills through self-directed problem-based learning. Through research and experiments_ the club helps students to learn about robotic engineering and applications. To develop concerned citizens and active contributors_ we deliver a robust Character and Citizenship Education (CCE) through our CCAs and formal CCE curriculum. These are integrated with a suite of programmes including leadership development_ national education and Values In Action programmes. The school's Learning for Life Programme_ ""Leadership Through Service""_ provides opportunities to develop our Fuhuanites' leadership potential through service so as to enable them to contribute to the betterment of society as socially responsible citizens. Our Uniformed Groups also serve as a premier vehicle to drive leadership and character development. UG cadets are given opportunities to lead and excel through service and community engagement_ locally and overseas.",-1,235
HAIG GIRLS' SCHOOL,http://www.haiggirls.moe.edu.sg,51 KOON SENG ROAD,427072,63440293,na,64474169,na,HAIGGIRLSSCH@MOE.EDU.SG,Eunos_ Dakota,16_33,MISS LO YEN NIE,MISS PHUA AI LEI,MDM LEE LI LI,na,na,na,na,Leaders of Character_ Striving for Excellence in a Vibrant School,To nurture self-directed learners and critical and creative thinkers who lead and serve with integrity and compassion.,Established in 1951_ Haig Girls' School (HGS) is an all-girls' government primary school.  Our school has a heritage of excellent all-round education.  Nurturing character_ leadership and creativity is the hallmark of an education at HGS that has endured over the decades. We believe in nurturing the whole child and preparing our pupils for life through a distinctive learning experience that is values-based_ engaging_ rigorous and innovative.   Our shared values are encapsulated in our I4Cs: Integrity_ Commitment_ Concern_ Cooperation_ and Creativity. Guided by our school motto 'Ars Potens Est' ('Knowledge is Power')_ we strive to nurture every Haig girl to use her knowledge_ skills and talents in service to the school_ community and nation.   We believe that our pupils are never too young to make a difference and give them a voice through advocacy_ service_ creative expression and innovation.  HGS is a second home to our pupils - a safe_ nurturing environment for them to be themselves and to grow and learn. We believe in the uniqueness and worth of every child - each child is different_ special and talented in her own way and we seek to bring out the best in her. We love_ value and accept each child for who she is regardless of her results or achievements_ but we hold her to high expectations. In HGS_ we would like each child to take responsibility for her learning and develop an intrinsic motivation to learn_ grow and excel. We believe in a growth mindset -- with effort_ perseverance and resilience_ every child can think_ learn_ achieve and excel.,GEYLANG,EAST,EAST 5,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,LLP - Character and Leadership through Performing & Visual Arts: Our whole-school approach to the arts allows pupils to demonstrate creativity_ express themselves_ develop character and deepen sense of pride in our multi-cultural heritage through diverse learning experiences in art_ music_ drama and dance. -ALP - Innovation & Service Learning through Integrated Project Work: IPW@HGS involves inter-disciplinary place-based learning_ authentic problem-solving and value creation. Service learning is embedded as pupils apply knowledge and skills to address civic issues. They collaborate to create solutions_ artworks or creative writing_ acquiring 21st century competencies (21CC) such as critical and creative thinking_ collaboration and communication skills. -The Inspired Museum Explorers_ Our Unique Travels (TIMEOUT): the inter-disciplinary museum-based learning programme develops visual literacy_ nurtures creative thinking and fosters a sense of pride in Singapore's cultural heritage. -Holistic Assessment (HA) with Holistic Reporting and Parent-Child-Teacher Conferencing (PCTC): As prototype school for HA_ we adopt a balanced assessment system with formative and summative assessment. Assessment is embedded into teaching and enables teachers to provide quality feedback to pupils and deepen their learning in various domains such as the arts_ values_ leadership and 21CC.  Pupils own their learning through reflection and self-assessment_ taking the lead at PCTC_ to share with parents their progress and areas for growth.  -Discover_ Develop & Dedicate your Talent Time (D3T2): talent development programmes in the Performing & Visual Arts_ Sports_ Mathematics_ Science & ICT. -Teaching Through the Arts Programme (TTAP): incorporating drama and movement in the learning of Math and Science -Knowledge Building: an inquiry approach to science learning. Pupils work together to ask questions_ test hypotheses_ improve on peers' ideas and co-construct scientific understanding.,-1,-1
HORIZON PRIMARY SCHOOL,http://www.horizonpri.moe.edu.sg,61 EDGEDALE PLAINS,828819,67535411,na,67523971,na,horizon_ps@moe.edu.sg,Punggol MRT Station,83_ 85_ 3,MDM GRACE HO LI JUN,MR OW EU GENE JOHN,MDM SENTHIL POONKODI D/O R K,na,na,na,na,Confident Individuals_ Responsible Citizens.,To nurture every child to lead their lives responsibly and to contribute with joy.,In Horizon Primary_ we believe that every child is a confident individual who is able to grow and become a responsible citizen. Horizon's driving force is garnered from 3 significant areas; our learning environment_ our philosophy of our students and the people who realise the School Vision.  Our learning environment is one that focuses on providing a wide range of learning platforms for holistic development. Thus the learning experiences are designed to grow a child holistically addressing the 5 domains - Moral_ Cognitive_ Physical_ Social and Aesthetics. We aspire to develop in every child good character and nourish his or her intellectual_ social and emotional well-being. This is accomplished through daily learning experiences and joyful activities offered through the I-LEAD curriculum_ Safe Play@ Horizon_ Leaders' Trail in Biodiversity_ P5 Computational Thinking in Mathematics_ sessions_ Making Thinking Visible routines based Aesthetic lessons_ Design Thinking for P4 Project Work_ language acquisition efforts and a range of Co-Curricular Activities (CCA).   As our philosophy is that 'Every Child a Leader'_ we focus strongly on character building and leadership development. I-LEAD is our leadership development programme for all students based on Steven R. Covey's 7 Habits and the school's values- Respect_ Integrity_ Compassion and Excellence. The curriculum allows students to learn_ practise and inculcate the 7 Habits and the school values through their daily learning experiences to become self-leaders.  The strong pillars of Horizon's vibrant learning environment are our staff and parents.  As a dedicated staff community_ we strive to ensure that every student is taught to take charge of his or her personal growth to be a leader of self_ who is both responsible and respected by others. Parents who are our firm and supportive partners work collaboratively to motivate_ encourage and spur our students to be confident learners and leaders.,PUNGGOL,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,I-LEAD is our Learning for Life Programme (LLP) that focuses on student leadership for the entire cohort. I-LEAD at Horizon is the central focus of our initiatives and programmes. It is our intention for all students to experience I-LEAD during their daily experiences and lessons through the common language that the teachers and peers use and via practising the skills of being a self-leader.  The I-LEAD framework maps out the levels of progression_ central themes and objectives_ skills_ competencies and values to be developed.  The instructional design of I-LEAD curriculum has been customised and developed to allow all students to learn life skills and to build their character based on self-leadership through the 7 Habits and the school values. I-LEAD lessons are conducted on a weekly basis and the 7 Habits and the School Values are prominently featured in the co-curricular programmes comprising Co-Curricular Activities (CCAs)_ Programmes for Active Learning (PAL)_ Values-in-Action (VIA)_ National Education (NE) and Socio-Emotional Learning (SEL) platforms.  There are two tiers to the Horizon's I-LEAD model for student leadership; the first tier has a primary purpose to develop every student as a self-leader at the progressive levels:-Self Leader (P1 and P2)_ Responsible Leader(P3 and P4) and Respected Leader (P5 and P6). All students get to experience class leadership roles on a rotational basis.  The second tier serves to identify and equip students who possess leadership qualities to be developed as student leaders from P3 level. Student leaders are School Captains_ Programme Captains and CCA Leaders who will role model and lead their peers in the actualisation of the leadership skills.,-1,-1
HOUGANG SECONDARY SCHOOL,http://www.hougangsec.moe.edu.sg,2 HOUGANG STREET 93,534256,63851990,na,63852015,na,HOUGANG_SS@MOE.EDU.SG,HOUGANG MRT_ BUANGKOK MRT,43_ 88_ 101_ 109_ 156_ 159_ 161_ 325_ 329,MR ARIVAZHAGAN MANICKAM,MRS YOONG JIN ING,MDM JESMINE CHUNG KAH MIN,na,na,na,na,Passionate Learners. Principled Leaders. Grateful Citizens,Care. Lead. Inspire. Partner,"Founded in 2001_ Hougang Secondary School (HS) provides a holistic education for Hougeans to pursue their strengths and passions. A school of distinction_ HS is recognised for having best practices in Student All-Round Development_ Character and Citizenship Education (CCE)_ and Teaching & Learning. In HS_ ""Every Student Counts"". Premised on this belief_ the school partners both parents and stakeholders to care_ lead and inspire students to discover their passion and fulfil their aspirations. HS places strong emphasis on character and values education. The school is committed to nurture every Hougean into Passionate Learners_ Principled Leaders and Grateful Citizens_ who will make the difference in their life journey even after they have left the gates of HS. There are opportunities for our students to be imbued with the school's core values of GRIT (Gratitude_ Respect_ Ingenuity_ Trustworthiness and Grit) through its Instructional_ Character and Citizenship Education_ Student Leadership_ CCAs_ Learning for Life and Applied Learning programmes which cater to the different needs and interests of the students.",HOUGANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"HS has a strong conviction in character excellence as the school believes that strong values will provide students the impetus towards academic excellence. Hence_ the school's Learning for Life Programme-Community Youth Leadership_ ""Values in Action_ A Hougean Way of Life""_ provides a sustained and enhanced values education progressively over 4/5 years. Leveraging on the Service Learning approach_ students take ownership of their involvement in VIA projects_ seek to understand the needs of the community_ and co-construct and mentor their peers to bring about awareness_ action and advocacy in their chosen area of community need. To nurture Hougeans to be confident and competent speakers_ the school's Applied Learning Programme_ ""Promoting Communication Skills through Authentic Learning"" strives to promote communication skills using real life learning platforms. By furnishing students with authentic settings and problems_ they will be able to acquire useful and transferable communication skills. The programme includes broadcasting_ public speaking_ debates_ drama and journalism. As part of our Internationalisation Programme_ all Secondary 3 students will have an opportunity to extend their learning overseas through exchange programmes. Through the trips_ students will be able to appreciate other cultures and establish friendships with their overseas counterparts. HS provides a robust Teaching & Learning curriculum that draws from a range of learning experiences to help students discover their passion and fulfil their aspirations. Key programmes include Project Work using Design Thinking methodology_ National Education Learning Journeys_ Math Enrichment such as:Math Trail and Math Magic_ HS Math Talent Programme_ Science Funtasia_ Humanities Inquiry Learning Journey_ Outreach Programme to Universities_ Polytechnics and Institutes of Technical Education_ Earth Week_ Sec 2 Adventure Camp_ Sports Education Programme_ Inter-class Games_ Sports Carnival and SciTechHuMatics.",-1,202
